UID,교회명,국가/지역,주소,담임,전도인수,사진URL
708,"떼떼구교회","미얀마","Myaung Mya Tae Tae khu (Gu) Yay Kyaw","",0,""
797,"떼무꼬교회","칠레","Senador Estébanez 555, Temuco, La Araucanía, Chile","진세장 담임목사",1,"https://file1.jbch.org/guide/797/797_2021060901521001831_nasilinn.jpeg"
445,"떼시우뜰란교회","멕시코","","박상준 담임목사",1,""
471,"떼우아깐교회","멕시코","LEON GUZMAN 309 REFORMA TEHUACAN PUE CP 75760 ","김용우 담임목사",1,""
444,"라글로리아교회","멕시코","FCO I MADERO LA GLORIA PEROTE VER","",0,""
667,"라뿟따교회","미얀마","Latputar City, Sarchat Group, Thin Kan Kone Village.","",0,""
172,"라스베가스교회","미국","3825 Melody Lane, Las Vegas, NV 89108","박철민 담임목사",1,""
416,"라파스교회","볼리비아","Pasaje Kantutas No 25, Calacoto Calle 10, La Paz","홍석철 담임목사",1,""
557,"라피다리오교회","필리핀","B25 L2-C Sunflower st., Ches-1, Trece Martires City, Cavite","",0,""
740,"란사로테교회","스페인","","",0,""
162,"러튼(오클라호마)교회","미국","1421 Great Plains Blvd, Suite B, Lawton, OK 73505","",0,""
160,"런던교회","영국","London Baptist Church, Clifden Rd, Brentford, TW8 0PB","차영환 담임목사",1,"https://file1.jbch.org/guide/160/160_2023010507391504412_ddakcha.jpg"
737,"레이떼교회","필리핀","# 432 R.V. Villaflores St. Central Hilongos ,Leyte","",0,"https://file1.jbch.org/guide/737/737_2023052100333225535_gyqls0401.jpg"
618,"로께따스데마르교회","스페인","Avenida de la aduana No.5, 04740, Roquetas de mar, Almería, España","",0,""
662,"루케교회","파라과이","Iglesia Misión Palabra De Vida (Iglesia de Luque 110953)","권종환 담임목사",1,"https://file1.jbch.org/guide/662/662_2024011604280519612_syoon91.jpg"
122,"르호보암교회","힇","","",0,""
488,"리가오교회","필리핀","Ligao Church bldg, sitio gamot, purok 7, bagumbayan, ligao city, albay","송홍근 담임목사",1,""
